,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[13369],-1.02808,0.00341296,0.245176,0.242948,-1.45606,-1.01387,-0.646977,5280.76,2627.95,4.2509,0.999889
log_lik[13370],-0.873637,0.00312901,0.213879,0.212894,-1.23771,-0.856559,-0.551968,4673.21,2593.2,3.76183,1.0007
log_lik[13371],-1.11342,0.00407677,0.295253,0.291585,-1.63379,-1.0926,-0.669661,5468.33,2451.27,4.40189,1.00019
log_lik[13372],-1.1828,0.00388495,0.292803,0.288352,-1.69369,-1.16595,-0.732822,5956.25,2786.22,4.79465,1.0008
log_lik[13373],-0.31504,0.00192212,0.129056,0.118939,-0.555902,-0.291443,-0.145239,4870.81,2924.26,3.92089,1.00764
log_lik[13374],-0.536627,0.00259482,0.183282,0.173629,-0.871275,-0.513885,-0.285793,5458.0,2767.83,4.39357,1.00125
log_lik[13375],-0.510177,0.00252148,0.176142,0.171021,-0.830829,-0.48797,-0.266473,5540.17,2397.93,4.45972,1.00063
log_lik[13376],-0.697593,0.00170614,0.130349,0.128625,-0.929941,-0.689592,-0.495821,5853.14,2411.32,4.71165,1.00252
log_lik[13377],-0.951018,0.00318209,0.227034,0.224622,-1.35924,-0.933221,-0.610454,5465.17,2472.48,4.39934,1.00077
log_lik[13378],-0.371549,0.00211447,0.13839,0.130207,-0.625917,-0.353431,-0.182753,4417.34,2717.6,3.55587,1.00073
log_lik[13379],-0.929474,0.00351112,0.238725,0.244551,-1.34394,-0.915619,-0.572188,4747.5,2638.42,3.82164,1.00011
log_lik[13380],-0.283942,0.00171179,0.114001,0.100023,-0.499525,-0.264403,-0.133658,5086.68,2443.04,4.09466,1.00343
log_lik[13381],-0.172005,0.00108178,0.0748853,0.0673944,-0.314578,-0.159891,-0.0741202,5668.89,2849.42,4.56333,1.00068
log_lik[13382],-0.401537,0.00223714,0.154053,0.145006,-0.689794,-0.378944,-0.189237,5462.63,2786.74,4.3973,1.00099
log_lik[13383],-1.04598,0.00449297,0.300676,0.300362,-1.57983,-1.019,-0.606352,4543.14,2186.54,3.65713,1.00083
log_lik[13384],-0.177291,0.00113622,0.0786612,0.0684265,-0.33221,-0.163461,-0.0758315,5879.2,2590.51,4.73263,1.00074
log_lik[13385],-0.562972,0.00257821,0.190196,0.180908,-0.909591,-0.537576,-0.295087,5921.61,2729.09,4.76677,1.00021
log_lik[13386],-0.495713,0.000964269,0.0718023,0.0726305,-0.620933,-0.492574,-0.385679,5621.01,2725.94,4.52479,1.0009
log_lik[13387],-1.95074,0.00197809,0.148802,0.145786,-2.20437,-1.9467,-1.70504,5715.74,2688.38,4.60104,1.00374
log_lik[13388],-1.64222,0.00328618,0.223305,0.226272,-2.01829,-1.63859,-1.28546,4678.06,2898.12,3.76574,1.00263
log_lik[13389],-0.0756065,0.000240621,0.0171644,0.0168149,-0.107241,-0.07389,-0.0505303,5402.63,3030.35,4.349,1.00061
log_lik[13390],-0.441198,0.00223128,0.165606,0.156952,-0.745867,-0.413473,-0.216371,6441.04,2419.9,5.18489,1.00512
log_lik[13391],-0.716402,0.00338445,0.232516,0.231234,-1.14142,-0.689789,-0.380685,5108.73,2590.93,4.11241,1.00098
log_lik[13392],-0.0682812,0.000426332,0.0295173,0.0258613,-0.122181,-0.0628521,-0.0317654,5751.34,2652.46,4.6297,1.00016
log_lik[13393],-0.418277,0.0023089,0.161175,0.153547,-0.716862,-0.394552,-0.202459,4994.41,2087.7,4.02039,1.00187
log_lik[13394],-0.621797,0.00312561,0.207992,0.201723,-1.00367,-0.595652,-0.329389,4674.83,2580.14,3.76314,1.00102
log_lik[13395],-0.0686985,0.000423004,0.0304452,0.0266361,-0.12604,-0.0628867,-0.0309569,6152.99,3167.97,4.95302,1.00155
log_lik[13396],-0.612781,0.00295311,0.206851,0.196139,-0.993287,-0.586537,-0.317325,5164.1,2892.62,4.15699,1.00019
log_lik[13397],-0.0970416,0.000661523,0.0460334,0.0387751,-0.180796,-0.0878373,-0.0404137,5779.28,2607.12,4.6522,1.00038
log_lik[13398],-0.258799,0.00038666,0.0291905,0.0290452,-0.308481,-0.257067,-0.212363,5646.33,3136.76,4.54517,1.00148
log_lik[13399],-0.998754,0.00228412,0.169561,0.166393,-1.29474,-0.994283,-0.727358,5532.29,2939.04,4.45337,1.00108
log_lik[13400],-0.301109,0.00179476,0.123676,0.115428,-0.536559,-0.282608,-0.13688,4869.72,2491.66,3.92002,1.00224
log_lik[13401],-0.153524,0.00110653,0.0725229,0.0634483,-0.291391,-0.139059,-0.0640431,5067.2,2898.7,4.07899,1.00226
log_lik[13402],-0.251106,0.00155215,0.103762,0.0979595,-0.443672,-0.233195,-0.115528,4755.68,2594.72,3.82821,1.00076
log_lik[13403],-0.0714127,0.000403956,0.0283497,0.0260865,-0.125471,-0.0671387,-0.0345875,5701.03,2966.4,4.58921,1.00093
log_lik[13404],-0.306923,0.00171679,0.119019,0.110684,-0.528574,-0.287913,-0.146958,5212.54,2991.31,4.19598,1.00132
log_lik[13405],-0.380711,0.000966786,0.0692984,0.065795,-0.502405,-0.375209,-0.275967,5471.46,2473.28,4.4044,1.00135
log_lik[13406],-0.322274,0.00176859,0.119386,0.110479,-0.542051,-0.304812,-0.159148,5019.18,2856.83,4.04033,1.00166
log_lik[13407],-0.38052,0.000971365,0.069433,0.0656095,-0.502197,-0.374599,-0.276273,5441.63,2227.38,4.38039,1.00117
log_lik[13408],-0.335053,0.00114725,0.0875433,0.0832177,-0.490684,-0.326148,-0.208262,6137.12,2699.81,4.94025,1.00104
log_lik[13409],-0.136699,0.000825779,0.0553085,0.0509643,-0.240351,-0.12775,-0.0664861,4901.2,3087.12,3.94536,1.00081
log_lik[13410],-0.263927,0.00157783,0.102257,0.0928619,-0.459613,-0.246989,-0.129695,4716.48,3184.9,3.79666,0.999504
log_lik[13411],-0.0533853,0.000301893,0.0216689,0.0194166,-0.0936671,-0.0496464,-0.0258098,5967.72,3077.59,4.80388,1.00166
log_lik[13412],-0.0695686,0.000437057,0.0317803,0.0279544,-0.130519,-0.0631276,-0.0296113,5766.14,2924.32,4.64162,1.00206
log_lik[13413],-0.301273,0.00112823,0.0746221,0.0724845,-0.43253,-0.293525,-0.194108,5189.09,2563.84,4.17711,0.999991
log_lik[13414],-0.488084,0.00253535,0.16908,0.159283,-0.801256,-0.469461,-0.254302,5170.52,2670.45,4.16215,1.00122
log_lik[13415],-0.130522,0.00093219,0.0613317,0.0540995,-0.248188,-0.1191,-0.0533716,5391.88,2610.88,4.34034,1.001
log_lik[13416],-0.0412211,0.000247775,0.0167788,0.0146577,-0.0721468,-0.0382033,-0.019769,5128.25,2862.97,4.12813,0.999919
log_lik[13417],-0.271527,0.00127566,0.0931369,0.084957,-0.44464,-0.258822,-0.143012,5651.66,2646.13,4.54946,1.00282
log_lik[13418],-0.238743,0.00134458,0.0932622,0.0867913,-0.412614,-0.225219,-0.112814,5443.09,2641.47,4.38156,1.0019
log_lik[13419],-0.675973,0.0032951,0.237788,0.226011,-1.11036,-0.645309,-0.341794,5647.96,2686.6,4.54649,1.00181
log_lik[13420],-0.660622,0.00327786,0.229198,0.223627,-1.07513,-0.63276,-0.342138,5383.98,2749.1,4.33399,1.00165
log_lik[13421],-0.329496,0.00170221,0.123654,0.115338,-0.561619,-0.310054,-0.164587,5695.28,2896.94,4.58457,1.0005
log_lik[13422],-0.34563,0.00194795,0.135353,0.12486,-0.601077,-0.322655,-0.162767,4863.92,2753.92,3.91535,1.00027
log_lik[13423],-0.436179,0.00137914,0.0961446,0.0938596,-0.604964,-0.428912,-0.289768,5288.94,2805.03,4.25748,1.00122
log_lik[13424],-0.660652,0.00319797,0.222825,0.217339,-1.07137,-0.630194,-0.34275,5145.75,2933.12,4.14222,1.00062
log_lik[13425],-0.103115,0.000550979,0.0382534,0.0342689,-0.172836,-0.0977003,-0.0536718,5202.64,2870.73,4.18801,1.00052
log_lik[13426],-0.436167,0.00138431,0.0958471,0.0941705,-0.606108,-0.429373,-0.291053,5181.47,2848.25,4.17097,1.0012
log_lik[13427],-0.386339,0.00197316,0.149928,0.140825,-0.669751,-0.362462,-0.185895,6645.09,3001.88,5.34916,1.00157
log_lik[13428],-0.0643925,0.000399723,0.0281375,0.0241786,-0.113634,-0.0594667,-0.0300216,6166.01,2628.45,4.9635,1.00253
log_lik[13429],-0.321669,0.00192379,0.12885,0.117966,-0.565716,-0.300453,-0.151187,5016.8,2512.28,4.03841,1.00317
log_lik[13430],-0.0521475,0.000198806,0.0156673,0.0143844,-0.0815623,-0.0500661,-0.030227,6399.72,3113.2,5.15163,1.00254
log_lik[13431],-0.405919,0.00211251,0.149383,0.141863,-0.680356,-0.386955,-0.200198,5334.69,2710.66,4.29431,1.00232
log_lik[13432],-0.393831,0.00212314,0.156432,0.14771,-0.681636,-0.36987,-0.181693,5423.68,2322.82,4.36594,0.999853
log_lik[13433],-0.417385,0.000594724,0.042012,0.041549,-0.488309,-0.415863,-0.349837,5041.79,2742.0,4.05853,1.00007
log_lik[13434],-0.905757,0.00299623,0.194216,0.192487,-1.24236,-0.893215,-0.60447,4196.04,2669.74,3.37772,1.00493
log_lik[13435],-0.349168,0.00185195,0.131723,0.124822,-0.593585,-0.329354,-0.171075,5398.62,2681.33,4.34577,1.0029
log_lik[13436],-0.905774,0.00299932,0.194532,0.192937,-1.2437,-0.893442,-0.603332,4200.18,2729.26,3.38105,1.00481
log_lik[13437],-0.436297,0.00138888,0.0961106,0.094063,-0.606566,-0.429182,-0.289858,5171.8,2764.91,4.16319,1.0014
log_lik[13438],-0.380532,0.000970073,0.0692572,0.0658169,-0.502124,-0.374973,-0.275883,5394.65,2227.55,4.34257,1.00105
log_lik[13439],-0.391394,0.00224092,0.152603,0.141014,-0.680107,-0.365415,-0.182706,5489.24,2908.5,4.41872,1.00088
log_lik[13440],-0.33585,0.00138205,0.0968636,0.0953336,-0.507173,-0.324176,-0.200214,5052.36,3067.72,4.06704,1.00105
log_lik[13441],-0.0121741,0.000109019,0.00670869,0.00536204,-0.0247023,-0.0106928,-0.00457006,4884.03,2636.63,3.93154,1.00097
log_lik[13442],-0.380525,0.00096191,0.0693275,0.0655381,-0.502132,-0.374936,-0.276529,5538.55,2540.6,4.45841,1.00121
log_lik[13443],-0.43625,0.00138732,0.0962469,0.0950558,-0.60689,-0.429512,-0.290251,5223.32,2848.33,4.20465,1.00132
