,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[43832],-0.672049,0.00288861,0.206079,0.193472,-1.04415,-0.646576,-0.376241,5411.78,2649.11,6.47167,1.00135
log_lik[43833],-0.666202,0.0031001,0.221561,0.213294,-1.07315,-0.640484,-0.349726,5529.32,2893.0,6.61224,1.00081
log_lik[43834],-0.663542,0.00316405,0.219563,0.208506,-1.06897,-0.639055,-0.34986,5163.13,2780.93,6.17433,1.00301
log_lik[43835],-0.666154,0.00110506,0.0766451,0.0747917,-0.798332,-0.663078,-0.544799,4805.07,2444.11,5.74613,1.00247
log_lik[43836],-0.27047,0.000800202,0.0609204,0.0585543,-0.379061,-0.26481,-0.181784,6233.52,2482.16,7.45435,0.999722
log_lik[43837],-0.560181,0.00131492,0.0910453,0.0913854,-0.71869,-0.553036,-0.423148,5004.7,2517.28,5.98486,1.00098
log_lik[43838],-0.861113,0.00340826,0.256254,0.257249,-1.31463,-0.836452,-0.484542,5704.6,2557.5,6.82184,1.00072
log_lik[43839],-0.317462,0.00128016,0.0939501,0.0906157,-0.489439,-0.304731,-0.186412,5646.86,2680.08,6.75279,1.00172
log_lik[43840],-0.221048,0.000547939,0.0423719,0.0420218,-0.293852,-0.217899,-0.156799,5999.23,2449.74,7.17417,0.999791
log_lik[43841],-0.483317,0.00194702,0.145626,0.142256,-0.755195,-0.468653,-0.279227,5938.43,3080.9,7.10146,1.00064
log_lik[43842],-0.6773,0.00206969,0.157317,0.15344,-0.953324,-0.664269,-0.438861,5828.56,2845.61,6.97007,0.999791
log_lik[43843],-0.333905,0.00179243,0.124373,0.11509,-0.557312,-0.315057,-0.167729,5450.89,2808.75,6.51845,1.00016
log_lik[43844],-0.456937,0.00221099,0.159953,0.151059,-0.749236,-0.435791,-0.237905,5925.68,2762.89,7.08621,0.999714
log_lik[43845],-0.672038,0.00320822,0.224045,0.21752,-1.07368,-0.64536,-0.352113,5228.61,2670.42,6.25263,0.99974
log_lik[43846],-0.717301,0.00301342,0.217969,0.212581,-1.10821,-0.694716,-0.399698,5364.18,2926.71,6.41475,1.00189
log_lik[43847],-0.475508,0.000404126,0.0304697,0.0305228,-0.526634,-0.47516,-0.426339,5617.3,2429.97,6.71744,1.00263
log_lik[43848],-0.276607,0.00139362,0.0917413,0.0902551,-0.44545,-0.264784,-0.148606,4889.81,2432.59,5.84747,1.00226
log_lik[43849],-0.491444,0.00243533,0.174491,0.169574,-0.815106,-0.470867,-0.245671,5326.23,2902.82,6.36937,1.00139
log_lik[43850],-0.675259,0.00278635,0.203211,0.200595,-1.05598,-0.655473,-0.376986,5750.35,2781.76,6.87655,1.00229
log_lik[43851],-0.651931,0.00289283,0.212537,0.211749,-1.0354,-0.626354,-0.346002,5799.45,2874.68,6.93526,1.00071
log_lik[43852],-0.556352,0.00112674,0.080593,0.0816619,-0.695068,-0.550853,-0.433687,5363.75,2253.38,6.41423,1.00146
log_lik[43853],-0.352138,0.00133646,0.101597,0.099939,-0.533869,-0.341484,-0.203606,6091.1,2637.65,7.28404,1.00027
log_lik[43854],-0.946823,0.00280568,0.198649,0.194948,-1.29685,-0.931228,-0.642914,5278.1,2689.57,6.31182,1.00157
log_lik[43855],-0.745567,0.00305776,0.23086,0.225131,-1.16857,-0.719626,-0.414324,6077.63,2806.42,7.26793,1.00165
log_lik[43856],-0.686651,0.00322402,0.218319,0.206289,-1.09014,-0.659197,-0.369609,5049.64,2690.92,6.03861,1.00361
log_lik[43857],-1.12505,0.000959196,0.0701885,0.0711341,-1.24131,-1.12463,-1.01184,5420.52,2910.02,6.48212,1.00094
