,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[17394],-0.66309,0.00189435,0.129297,0.126329,-0.892479,-0.654639,-0.467953,4836.64,2841.8,3.81482,1.00112
log_lik[17395],-0.485904,0.00254435,0.163003,0.153449,-0.792205,-0.463025,-0.257969,4346.72,2745.07,3.4284,1.00046
log_lik[17396],-0.674875,0.00333109,0.218931,0.208263,-1.07117,-0.65218,-0.366989,4462.78,2646.39,3.51994,1.00223
log_lik[17397],-0.437972,0.00270933,0.148783,0.143407,-0.703817,-0.418256,-0.236147,3205.28,2131.16,2.52811,1.00042
log_lik[17398],-0.602858,0.0031981,0.219228,0.206224,-1.01772,-0.574416,-0.294228,5044.9,2744.71,3.97908,1.00089
log_lik[17399],-0.901366,0.00273557,0.195411,0.19146,-1.24656,-0.887865,-0.603186,5287.31,2796.13,4.17027,1.00235
log_lik[17400],-0.660439,0.00340372,0.224624,0.223999,-1.06884,-0.6306,-0.344388,4615.94,2762.84,3.64074,1.00133
log_lik[17401],-0.652915,0.0037214,0.222978,0.224258,-1.05924,-0.625006,-0.338178,3825.28,2738.21,3.01712,1.00045
log_lik[17402],-0.200652,0.000920193,0.0631143,0.0577998,-0.317853,-0.193069,-0.113069,5306.83,2920.07,4.18567,1.00051
log_lik[17403],-0.774539,0.00322089,0.218394,0.212764,-1.15914,-0.754225,-0.454943,4909.33,2935.85,3.87215,0.999892
log_lik[17404],-0.246395,0.00231467,0.148102,0.120797,-0.529031,-0.213695,-0.0746298,4793.13,2784.9,3.7805,1.00022
log_lik[17405],-0.505436,0.00206082,0.139823,0.136611,-0.753606,-0.494384,-0.298972,4913.29,2564.43,3.87527,1.00034
log_lik[17406],-0.492014,0.0025734,0.177018,0.173043,-0.809825,-0.467994,-0.24362,4965.26,2973.99,3.91627,1.00138
log_lik[17407],-0.140683,0.000872891,0.0608613,0.0554613,-0.253034,-0.12994,-0.0628833,5318.35,2678.79,4.19476,1.00166
log_lik[17408],-0.654173,0.00329183,0.22136,0.217484,-1.05512,-0.630882,-0.341737,4770.63,2580.43,3.76275,1.00188
log_lik[17409],-0.613799,0.00295316,0.206853,0.198738,-0.993667,-0.591101,-0.320241,5086.86,2590.92,4.01217,1.00102
log_lik[17410],-0.387322,0.00139356,0.0965765,0.0942157,-0.561801,-0.378276,-0.247523,5052.65,3019.71,3.98519,1.00155
log_lik[17411],-0.627934,0.00294537,0.210544,0.206168,-1.02487,-0.602849,-0.330907,5210.69,2686.8,4.10984,1.00075
log_lik[17412],-0.601618,0.00298315,0.198386,0.195244,-0.960273,-0.580917,-0.318347,4486.9,2756.23,3.53896,1.00091
log_lik[17413],-0.746705,0.00206511,0.133455,0.134935,-0.97481,-0.736264,-0.548064,4259.48,2569.43,3.35959,1.00056
log_lik[17414],-0.208587,0.00119743,0.0774374,0.0709425,-0.351938,-0.195041,-0.106351,4432.19,2791.01,3.49581,1.00034
log_lik[17415],-0.0179426,0.000140368,0.00821885,0.00730445,-0.034062,-0.0164423,-0.00771948,3906.4,2916.78,3.0811,1.00071
log_lik[17416],-0.521559,0.00170287,0.120779,0.11976,-0.732239,-0.512881,-0.341957,5053.4,2884.06,3.98578,1.00036
log_lik[17417],-0.681457,0.00279101,0.191409,0.187046,-1.02374,-0.66299,-0.397841,5008.66,2666.4,3.95049,1.00182
log_lik[17418],-0.470842,0.000972551,0.0708861,0.0686222,-0.594235,-0.466456,-0.362066,5342.74,2923.1,4.214,1.00081
log_lik[17419],-0.157973,0.000715388,0.0503866,0.0484861,-0.250837,-0.152353,-0.086712,4809.69,2824.16,3.79356,1.00041
log_lik[17420],-0.588872,0.00153921,0.0994945,0.0970265,-0.76126,-0.581682,-0.436235,4252.04,2878.74,3.35372,1.00491
log_lik[17421],-0.754808,0.00190054,0.135091,0.132809,-0.994799,-0.74812,-0.54699,5209.38,2883.74,4.10881,1.00149
log_lik[17422],-1.61203,0.00557939,0.366412,0.375646,-2.23266,-1.59677,-1.04351,4192.59,2363.67,3.30683,1.0009
log_lik[17423],-0.736706,0.0024307,0.167378,0.163816,-1.03585,-0.726975,-0.481299,5031.49,2656.01,3.9685,1.00069
log_lik[17424],-0.525778,0.00253292,0.174538,0.166288,-0.842141,-0.504139,-0.276703,5045.78,2606.7,3.97977,1.00013
log_lik[17425],-0.196824,0.00115756,0.08071,0.073881,-0.349349,-0.183269,-0.0924415,5635.25,2897.63,4.4447,1.00272
log_lik[17426],-0.704444,0.00205945,0.150021,0.145371,-0.968016,-0.693096,-0.482139,5529.3,2550.96,4.36114,1.00021
log_lik[17427],-0.58062,0.00299175,0.190502,0.184747,-0.928191,-0.558879,-0.310083,4379.17,2716.91,3.454,1.00014
log_lik[17428],-0.231652,0.00139696,0.0899937,0.0842144,-0.39884,-0.216241,-0.110709,4580.94,2615.06,3.61314,1.00111
log_lik[17429],-0.257434,0.000835082,0.05922,0.0588614,-0.363168,-0.251452,-0.16963,5021.8,2683.79,3.96086,0.999552
log_lik[17430],-0.609247,0.00197266,0.146137,0.146003,-0.866227,-0.600591,-0.393727,5603.27,2943.19,4.41948,1.0018
log_lik[17431],-0.946869,0.00398234,0.251133,0.240235,-1.40429,-0.923587,-0.581296,4265.56,2436.4,3.36439,1.00123
log_lik[17432],-1.20339,0.00254891,0.174974,0.176759,-1.49899,-1.19446,-0.924167,4765.98,3031.44,3.75908,1.00074
log_lik[17433],-0.709435,0.00294038,0.201861,0.193781,-1.07432,-0.68779,-0.415429,4822.68,2673.62,3.8038,1.00097
log_lik[17434],-0.634325,0.00254723,0.179779,0.178559,-0.951533,-0.615608,-0.375383,5059.55,2732.94,3.99063,0.999991
log_lik[17435],-0.728053,0.00197989,0.138514,0.142599,-0.972216,-0.720086,-0.517698,5005.83,2459.11,3.94826,1.00225
log_lik[17436],-0.0961759,0.0012786,0.0781015,0.0573248,-0.245637,-0.075236,-0.0182118,4632.23,2621.99,3.65359,1.00106
log_lik[17437],-0.117822,0.00118834,0.0759545,0.0628996,-0.266454,-0.100252,-0.0307066,4743.99,2980.89,3.74174,1.0003
log_lik[17438],-0.55423,0.00244656,0.159314,0.155912,-0.840027,-0.539011,-0.319772,4439.27,2816.25,3.50139,1.00073
log_lik[17439],-0.823871,0.00291227,0.1967,0.199906,-1.16681,-0.812126,-0.526544,4560.48,2566.25,3.597,1.00291
log_lik[17440],-0.258313,0.00167108,0.101922,0.0939695,-0.446122,-0.240466,-0.126592,4142.15,2681.51,3.26704,1.00072
log_lik[17441],-0.207487,0.00143628,0.0899229,0.0778771,-0.378006,-0.19081,-0.0929222,4301.21,2675.68,3.3925,1.00257
log_lik[17442],-0.19251,0.00126391,0.0792029,0.0719181,-0.337744,-0.178656,-0.0894767,4375.87,3010.59,3.45139,1.00182
log_lik[17443],-0.165516,0.000653483,0.0411801,0.0394003,-0.240616,-0.162101,-0.105291,4113.39,3154.43,3.24436,1.00091
log_lik[17444],-1.00767,0.000924927,0.0595468,0.0574971,-1.10811,-1.00709,-0.91138,4157.77,2441.43,3.27937,1.00219
log_lik[17445],-0.605684,0.00169975,0.122129,0.121673,-0.818691,-0.597924,-0.422265,5144.54,2622.9,4.05767,0.999924
log_lik[17446],-0.567718,0.00278506,0.181627,0.170779,-0.90077,-0.54806,-0.30676,4325.34,2861.3,3.41154,0.999881
log_lik[17447],-0.635918,0.00318538,0.199471,0.194635,-0.993575,-0.616755,-0.344737,4254.61,2442.74,3.35575,1.00083
log_lik[17448],-0.55866,0.00243305,0.170487,0.168325,-0.867741,-0.539888,-0.313279,5041.21,2832.44,3.97617,1.00104
log_lik[17449],-0.522169,0.00190139,0.131486,0.127605,-0.749566,-0.509514,-0.327998,5040.91,2700.28,3.97593,0.999981
log_lik[17450],-0.712898,0.00338071,0.227779,0.221137,-1.13999,-0.693165,-0.385751,4712.64,2891.25,3.71701,1.00404
log_lik[17451],-0.258439,0.00149743,0.0963806,0.0934715,-0.433836,-0.246946,-0.12551,4191.75,2982.96,3.30617,1.00345
log_lik[17452],-0.232701,0.00143275,0.107793,0.0956864,-0.431022,-0.214218,-0.0930382,6270.46,2798.35,4.94571,1.00058
log_lik[17453],-0.158613,0.000951563,0.0643829,0.0593978,-0.27728,-0.148465,-0.0713345,4651.39,2836.73,3.66871,1.00167
log_lik[17454],-0.274784,0.00205816,0.137868,0.125237,-0.534846,-0.248353,-0.106712,5088.56,2856.41,4.01351,1.0017
log_lik[17455],-0.122386,0.0010888,0.0689817,0.0575765,-0.254976,-0.106049,-0.0406742,4520.29,2665.64,3.5653,1.00157
log_lik[17456],-0.224341,0.00170248,0.116772,0.103905,-0.446232,-0.200432,-0.0806906,5056.07,2910.32,3.98788,1.00064
log_lik[17457],-0.194584,0.00160433,0.100903,0.086144,-0.391061,-0.174428,-0.0709866,4271.68,2722.18,3.36922,1.00039
log_lik[17458],-0.212306,0.00148828,0.0965034,0.0889239,-0.392871,-0.194649,-0.0894592,4479.92,2959.16,3.53346,1.00137
log_lik[17459],-0.372676,0.00238549,0.153768,0.143787,-0.656364,-0.349722,-0.163847,4235.24,3036.97,3.34047,1.00058
log_lik[17460],-2.66538,0.00803828,0.505434,0.50959,-3.52628,-2.64278,-1.86112,4102.82,2979.59,3.23603,1.00133
