,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[42408],-0.475755,0.00242395,0.171468,0.167808,-0.796229,-0.454542,-0.236635,5212.75,3169.87,4.6681,1.00288
log_lik[42409],-0.239151,0.000634492,0.0444109,0.0445265,-0.316249,-0.23555,-0.172341,5016.84,2966.7,4.49266,1.00029
log_lik[42410],-0.823789,0.00369711,0.262379,0.262634,-1.30725,-0.794485,-0.444807,5394.8,2815.46,4.83112,1.00242
log_lik[42411],-0.830464,0.00325304,0.246253,0.244075,-1.27391,-0.801903,-0.468807,5732.02,2133.82,5.1331,1.00154
log_lik[42412],-0.152415,0.00111394,0.0806127,0.069228,-0.302319,-0.136462,-0.0568178,6059.76,2870.34,5.4266,0.999741
log_lik[42413],-0.646171,0.00315237,0.203843,0.206744,-1.00303,-0.626451,-0.352609,4194.76,2829.78,3.75647,1.00332
log_lik[42414],-0.803111,0.0024142,0.174629,0.176372,-1.11073,-0.78812,-0.540786,5410.0,2851.14,4.84474,1.00035
log_lik[42415],-0.630823,0.00314794,0.214598,0.209305,-1.03126,-0.607275,-0.319265,4904.68,2429.04,4.39222,1.00019
log_lik[42416],-0.150903,0.000544446,0.0395469,0.0371265,-0.222948,-0.146393,-0.0948282,5395.42,2918.77,4.83168,1.00217
log_lik[42417],-0.784029,0.00304974,0.214223,0.212766,-1.168,-0.765114,-0.467536,5337.45,2671.98,4.77977,1.00139
log_lik[42418],-0.161938,0.000769346,0.0514964,0.0471466,-0.257193,-0.154906,-0.0912495,4819.44,2460.51,4.31588,1.00144
log_lik[42419],-1.16453,0.00334956,0.232666,0.23761,-1.56077,-1.15107,-0.805358,4875.66,2659.43,4.36623,1.00232
log_lik[42420],-0.694768,0.00251963,0.168064,0.164073,-0.994527,-0.681606,-0.444819,4536.98,2869.11,4.06294,1.00186
