,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[34848],-0.540586,0.00219717,0.163195,0.163319,-0.831126,-0.523855,-0.307873,5787.12,2779.47,6.68417,1.00124
log_lik[34849],-0.573523,0.00224168,0.159993,0.158526,-0.857483,-0.560286,-0.339781,5483.15,2753.95,6.33308,1.00138
log_lik[34850],-0.488771,0.000876711,0.0610127,0.0614853,-0.592952,-0.485176,-0.393984,4892.31,2774.24,5.65066,1.00023
log_lik[34851],-0.651432,0.00306214,0.221841,0.212324,-1.05649,-0.626896,-0.337733,5618.9,2698.02,6.48987,1.0012
log_lik[34852],-0.630799,0.00299505,0.221506,0.209058,-1.03401,-0.601833,-0.319626,5890.22,2651.76,6.80325,1.00034
log_lik[34853],-0.993103,0.00212995,0.160585,0.156398,-1.2705,-0.984477,-0.743266,5850.15,2918.34,6.75697,1.00342
log_lik[34854],-0.640903,0.00296741,0.199686,0.188465,-1.01362,-0.618516,-0.350515,4959.21,2558.61,5.72793,1.00157
log_lik[34855],-0.871279,0.00168581,0.125759,0.125708,-1.08118,-0.865732,-0.673674,5755.78,2822.36,6.64797,1.00044
log_lik[34856],-0.662272,0.00227852,0.17081,0.169728,-0.962593,-0.647335,-0.409358,6407.58,2567.57,7.40081,1.00026
log_lik[34857],-0.744639,0.00272311,0.190586,0.192522,-1.08234,-0.7274,-0.465661,5028.94,2956.21,5.80847,0.999843
log_lik[34858],-0.640646,0.00200592,0.143674,0.140372,-0.891649,-0.628942,-0.426044,5280.65,2767.38,6.09919,0.999946
log_lik[34859],-0.474853,0.00127767,0.0964819,0.0945331,-0.645627,-0.467708,-0.3302,5847.43,2851.74,6.75383,1.00388
log_lik[34860],-0.640996,0.00201192,0.143619,0.140987,-0.8933,-0.628308,-0.425384,5261.06,2789.46,6.07657,0.999648
log_lik[34861],-0.474556,0.0012723,0.0963213,0.0946095,-0.643281,-0.467502,-0.330214,5879.3,2769.16,6.79064,1.00384
log_lik[34862],-0.702675,0.00257742,0.194987,0.190578,-1.05805,-0.685474,-0.417411,5887.12,2614.52,6.79967,1.00483
log_lik[34863],-0.50296,0.00253885,0.159076,0.152895,-0.793729,-0.486732,-0.274507,4303.8,2579.03,4.97093,1.00049
log_lik[34864],-0.806928,0.00349213,0.242386,0.241845,-1.24591,-0.77859,-0.459893,5236.11,2902.11,6.04775,1.00202
log_lik[34865],-0.840437,0.00232103,0.175272,0.174647,-1.14936,-0.830776,-0.577051,5864.38,2943.12,6.77341,1.00152
log_lik[34866],-0.611594,0.00315091,0.213413,0.19938,-1.00965,-0.586512,-0.313763,4891.22,2707.28,5.6494,1.00052
log_lik[34867],-0.635115,0.00206733,0.151789,0.150151,-0.904425,-0.621544,-0.407945,5666.52,2919.12,6.54488,1.00154
log_lik[34868],-0.819622,0.00160334,0.118048,0.116026,-1.02579,-0.814224,-0.634187,5516.62,2484.48,6.37174,1.00203
log_lik[34869],-0.551985,0.00120886,0.0912919,0.0916742,-0.712014,-0.545884,-0.413767,5788.05,2819.74,6.68525,1.00024
log_lik[34870],-0.771071,0.00207845,0.146408,0.148634,-1.01759,-0.764682,-0.542217,5066.17,2628.43,5.85146,1.00304
log_lik[34871],-0.768411,0.00232987,0.17033,0.170731,-1.07445,-0.754574,-0.516317,5424.91,2948.31,6.26581,0.999985
log_lik[34872],-0.726053,0.00199655,0.133237,0.131621,-0.960852,-0.715028,-0.523066,4623.21,2537.03,5.33985,1.00206
log_lik[34873],-0.50603,0.00079995,0.0578248,0.0581062,-0.6045,-0.5029,-0.414509,5168.87,2436.85,5.97008,1.00005
log_lik[34874],-0.510092,0.00116533,0.0820229,0.0805286,-0.657178,-0.506002,-0.382865,5161.04,2740.25,5.96104,1.00117
log_lik[34875],-0.601938,0.00119885,0.087846,0.0877291,-0.755276,-0.596095,-0.468327,5447.72,3056.95,6.29215,1.00181
log_lik[34876],-0.489245,0.00187251,0.134541,0.128858,-0.730111,-0.476454,-0.287178,5299.56,2699.7,6.12104,1.00254
log_lik[34877],-0.888604,0.00248426,0.184701,0.18113,-1.20697,-0.877391,-0.609283,5727.69,3064.41,6.61552,1.0007
log_lik[34878],-1.05217,0.00176161,0.123549,0.124493,-1.26525,-1.04863,-0.861489,4997.28,2520.12,5.77189,1.00262
log_lik[34879],-0.740113,0.00292459,0.213704,0.213539,-1.12368,-0.721029,-0.433844,5705.42,2908.2,6.5898,0.999655
log_lik[34880],-0.969818,0.00313892,0.229688,0.228894,-1.37005,-0.955961,-0.626125,5457.72,2699.33,6.30371,1.00169
log_lik[34881],-0.67962,0.00292466,0.21517,0.20402,-1.07956,-0.650721,-0.374864,6176.44,2575.44,7.13383,1.00047
log_lik[34882],-0.969814,0.00313774,0.229366,0.227968,-1.37138,-0.954759,-0.626985,5442.01,2757.0,6.28556,1.0015
log_lik[34883],-0.546364,0.00252143,0.185265,0.184809,-0.878317,-0.524058,-0.285032,5597.3,3006.15,6.46492,1.00085
log_lik[34884],-0.838431,0.00130609,0.0924177,0.0926539,-0.992417,-0.835247,-0.690879,4992.1,2811.85,5.76591,1.00096
log_lik[34885],-0.642194,0.00324348,0.213331,0.215563,-1.02766,-0.617055,-0.340726,4771.55,2352.89,5.51118,1.00092
log_lik[34886],-0.562737,0.00271276,0.194222,0.185565,-0.925666,-0.537953,-0.28513,5423.69,2659.96,6.2644,1.00226
log_lik[34887],-0.679352,0.00357704,0.234763,0.229558,-1.10348,-0.653144,-0.349891,5208.07,2409.1,6.01536,1.00073
log_lik[34888],-0.566513,0.00628208,0.410963,0.348443,-1.3879,-0.466669,-0.108082,4907.69,2599.77,5.66843,1.00475
log_lik[34889],-0.500295,0.0021541,0.149105,0.142297,-0.771451,-0.48469,-0.282479,4947.27,2613.82,5.71414,0.999985
log_lik[34890],-0.423173,0.00129603,0.0991178,0.10038,-0.598392,-0.414318,-0.276359,5924.14,2952.21,6.84243,1.00219
log_lik[34891],-0.80824,0.0022438,0.156351,0.156776,-1.08043,-0.799451,-0.567237,5132.14,2634.91,5.92767,1.00166
log_lik[34892],-0.628201,0.00239453,0.164216,0.16207,-0.921848,-0.612055,-0.388068,5047.95,2510.33,5.83042,1.00064
log_lik[34893],-0.656148,0.00314949,0.229014,0.223478,-1.07814,-0.626111,-0.335667,5907.29,2725.22,6.82296,1.00045
log_lik[34894],-0.568101,0.00198761,0.140091,0.133075,-0.824372,-0.555304,-0.364457,5066.59,2676.82,5.85196,1.0002
log_lik[34895],-0.517745,0.00249437,0.171035,0.164234,-0.837357,-0.496659,-0.27412,4906.35,2410.53,5.66687,1.00091
