,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[34747],-0.645895,0.00304765,0.222693,0.219699,-1.0504,-0.616624,-0.331735,5410.17,2493.23,6.24879,0.999913
log_lik[34748],-0.677848,0.00310588,0.227808,0.222752,-1.09466,-0.654458,-0.349534,6012.35,2595.35,6.94431,1.00377
log_lik[34749],-0.585527,0.00183599,0.13753,0.135667,-0.827812,-0.573498,-0.38135,5860.05,3014.6,6.76841,1.00187
log_lik[34750],-0.631937,0.00316334,0.22033,0.20766,-1.04229,-0.603133,-0.318351,5218.49,2776.03,6.02739,1.00198
log_lik[34751],-0.667833,0.00206252,0.149517,0.14404,-0.923172,-0.655943,-0.448005,5156.52,2609.74,5.95582,1.00134
log_lik[34752],-0.650499,0.00310141,0.220006,0.219143,-1.04841,-0.625154,-0.335819,5206.47,2840.35,6.01351,1.0009
log_lik[34753],-0.478675,0.00136409,0.10077,0.101107,-0.655542,-0.470167,-0.330537,5672.92,3136.46,6.55227,1.00182
log_lik[34754],-0.619435,0.00197801,0.14638,0.14895,-0.877861,-0.6059,-0.40175,5596.43,3183.85,6.46392,1.00452
log_lik[34755],-0.646125,0.00180179,0.128187,0.128267,-0.868084,-0.636481,-0.454457,5250.22,2940.84,6.06405,1.00174
log_lik[34756],-0.744731,0.00303824,0.206712,0.202345,-1.1093,-0.722099,-0.449103,4963.31,2843.99,5.73266,1.00088
log_lik[34757],-0.685556,0.00395287,0.275063,0.26107,-1.19433,-0.646607,-0.306895,5340.81,2521.37,6.16868,1.00073
log_lik[34758],-0.719454,0.002816,0.207403,0.203984,-1.10518,-0.694527,-0.416319,5722.67,3082.4,6.60972,1.00289
log_lik[34759],-0.651893,0.00301313,0.222363,0.213637,-1.04351,-0.626662,-0.342265,5854.35,2743.1,6.76182,1.00173
log_lik[34760],-0.724495,0.00255453,0.181827,0.178514,-1.05117,-0.713428,-0.452584,5113.8,2741.24,5.90648,1.00041
log_lik[34761],-0.563538,0.00275046,0.199018,0.196549,-0.91677,-0.539781,-0.285825,5368.08,2970.41,6.20017,0.999801
log_lik[34762],-0.42243,0.0018493,0.134454,0.126687,-0.662647,-0.408937,-0.230661,5622.74,2707.56,6.49431,1.00022
log_lik[34763],-0.576952,0.00158301,0.11802,0.116329,-0.783668,-0.569113,-0.39961,5403.16,2619.53,6.2407,1.00326
log_lik[34764],-0.213176,0.000423564,0.0315805,0.0313792,-0.267569,-0.211337,-0.163224,5580.22,2902.69,6.4452,1.00027
log_lik[34765],-0.953208,0.0035113,0.243791,0.240951,-1.38909,-0.934378,-0.58534,4792.87,2700.26,5.5358,1.00088
log_lik[34766],-0.624643,0.00156128,0.102667,0.101514,-0.802527,-0.619266,-0.466502,4726.16,2900.59,5.45875,1.00105
log_lik[34767],-0.659622,0.0029265,0.206894,0.199681,-1.02761,-0.637471,-0.363473,5200.65,2913.36,6.00679,1.001
log_lik[34768],-0.670952,0.00316363,0.225228,0.216781,-1.0819,-0.64801,-0.35344,5508.02,2830.66,6.36181,1.0004
log_lik[34769],-1.01125,0.00229915,0.173308,0.169082,-1.31214,-1.00339,-0.745102,5822.0,2932.42,6.72445,1.00142
log_lik[34770],-0.601289,0.00145641,0.107118,0.107893,-0.786167,-0.59576,-0.432778,5302.03,2493.93,6.12389,0.999921
log_lik[34771],-0.779614,0.00176261,0.119999,0.118991,-0.988108,-0.772483,-0.593076,4632.89,3018.64,5.35102,1.00049
log_lik[34772],-0.588443,0.00250539,0.169902,0.167037,-0.889603,-0.570594,-0.340966,4886.85,2850.98,5.64435,0.999779
log_lik[34773],-0.896966,0.000581588,0.0436155,0.0431815,-0.970301,-0.896446,-0.826468,5616.04,3195.82,6.48658,1.00013
log_lik[34774],-0.624744,0.00157176,0.102742,0.101159,-0.804721,-0.618672,-0.464945,4642.54,2766.97,5.36217,1.0009
log_lik[34775],-0.868599,0.000705499,0.0511861,0.0516779,-0.954073,-0.867698,-0.783833,5313.15,2364.66,6.13673,1.00059
log_lik[34776],-0.423141,0.00100064,0.0772946,0.0768682,-0.554719,-0.419381,-0.305223,5953.44,2672.51,6.87627,1.00218
log_lik[34777],-0.65108,0.00338774,0.229264,0.223294,-1.07914,-0.623777,-0.327354,4644.58,2528.27,5.36453,0.999986
log_lik[34778],-0.626876,0.00237441,0.162241,0.155287,-0.91931,-0.612099,-0.380168,4831.38,2639.07,5.58028,1.00173
log_lik[34779],-0.653786,0.00304078,0.219935,0.213611,-1.04831,-0.628113,-0.339877,5530.51,2798.82,6.38778,1.00051
log_lik[34780],-0.681902,0.00344776,0.231692,0.222622,-1.09277,-0.655303,-0.351909,4878.73,2804.75,5.63497,1.00058
log_lik[34781],-0.903611,0.00213487,0.145489,0.14412,-1.15272,-0.895748,-0.676695,4759.56,2917.1,5.49732,1.00067
log_lik[34782],-0.482113,0.000401172,0.0300605,0.0300051,-0.531663,-0.482426,-0.433689,5594.24,2816.52,6.4614,1.00023
log_lik[34783],-0.885926,0.00347969,0.239099,0.240376,-1.30101,-0.867133,-0.536791,5026.94,2912.77,5.80616,0.999839
log_lik[34784],-0.640747,0.00286097,0.197373,0.195242,-0.997653,-0.619374,-0.355602,5247.06,2888.34,6.06039,0.999575
